Id,SalePrice
1461,125002.59432488245
1462,159404.80843577604
1463,181536.6243912987
1464,186904.58050330187
1465,190079.73784284064
1466,178805.51203611353
1467,173911.1900323781
1468,172867.33188974342
1469,187724.17800979482
1470,126038.36095319207
1471,202202.77267879283
1472,94464.1654967059
1473,100220.81051978118
1474,151810.2769148671
1475,131345.76387479613
1476,369687.592762457
1477,249450.89344320132
1478,291026.3987106261
1479,250216.29031805327
1480,477249.6234357791
1481,336543.4261498459
1482,204895.04553484128
1483,176615.50709099896
1484,165842.3065737116
1485,176648.02438927474
1486,197629.1151586123
1487,328320.91363140935
1488,239591.5287954417
1489,202993.75319290077
1490,205311.2186508839
1491,188254.65118886365
1492,95103.56968150525
1493,182241.21937898258
1494,289301.1864773141
1495,300358.5837654834
1496,229782.83666525973
1497,189756.88699571398
1498,156445.38130909743
1499,154841.51251407948
1500,153830.52278468478
1501,175388.65781579042
1502,153681.58539968464
1503,287636.80665489857
1504,233868.8920611198
1505,223256.0329278645
1506,185534.6748161313
1507,233237.33038430483
1508,199613.43892682332
1509,160374.14622771065
1510,149874.65053169173
1511,145315.35428538697
1512,166033.82965919623
1513,154978.8775949774
1514,164821.34274439563
1515,180721.96039954072
1516,151457.40883104698
1517,154983.28715241078
1518,131783.34063721864
1519,222623.472792954
1520,137417.70112466154
1521,138957.6602258213
1522,163687.12394626858
1523,121008.17550243366
1524,125313.32604175966
1525,124895.19448395683
1526,126228.12965376109
1527,102077.71358040914
1528,129108.07181866413
1529,146607.7145729216
1530,171903.42398468504
1531,116076.5166444128
1532,103074.20043081483
1533,146628.23960765175
1534,118040.739133401
1535,152151.5687052731
1536,118430.83696280202
1537,68831.55658729213
1538,154387.50425821045
1539,179138.02869632366
1540,109322.52466249674
1541,144594.69560821474
1542,140697.37718270964
1543,219649.10896344198
1544,78528.54061261176
1545,110219.32975395203
1546,127107.80919966364
1547,133625.2369632439
1548,130710.44347441824
1549,110638.43555710757
1550,139159.40631860888
1551,117089.60531102325
1552,137235.8274464748
1553,141563.08764609063
1554,110086.70241016324
1555,168819.1513780959
1556,91506.52615916272
1557,123584.58274751068
1558,86649.26417931923
1559,104742.71947070425
1560,140044.00285951546
1561,152687.90663707076
1562,126993.79071147932
1563,126169.80382962708
1564,160388.34891240473
1565,148632.18601431258
1566,226154.60777254883
1567,73854.509160501
1568,224209.35908601666
1569,150272.3336595361
1570,131671.70520899628
1571,112223.55228772061
1572,143463.81029723442
1573,242736.7090734892
1574,120448.59368613518
1575,214146.58340140287
1576,219442.37893300122
1577,196925.64029259275
1578,146079.1046536278
1579,142019.95065006975
1580,190439.8697533559
1581,143663.4174932843
1582,131952.88631343454
